time,flux,flux_err
144.26276247631904,30126.684,6.0212193
144.28319685874158,30132.56,6.0265937
144.3036312411714,30122.764,6.0263495
144.32406562348478,30134.84,6.024447
144.3445000057909,30157.2,6.0246673
144.3649343879879,30133.729,6.023359
144.3853686701841,30144.96,6.021495
144.40580315237457,30148.852,6.0228553
144.42623753445514,30179.79,6.028299
144.44667181641853,30177.67,6.027818
144.46710629849258,30179.0,6.0291834
144.48754068034032,30195.082,6.0286694
144.5079749623037,30198.242,6.027121
144.52840934402775,30192.22,6.026357
144.54884382587625,30199.39,6.0235176
144.56927820760757,30198.998,6.030958
144.58971248933813,30207.684,6.0294957
144.61014697094652,30201.7,6.026614
144.630581352445,30152.803,6.024486
144.65101563405187,29672.904,5.9985127
144.67145001555036,29583.97,5.9939346
144.6918844969332,29623.98,5.998023
144.71231877830724,29811.193,6.006773
144.7327531595729,30228.904,6.0301065
144.75318764083931,30247.943,6.032463
144.77362192209694,30255.896,6.037002
144.79405630324618,30267.777,6.032527
144.81449068439542,30262.04,6.0346255
144.83492516542174,30272.045,6.027141
144.8553594464538,30267.273,6.0362563
144.87579382737022,30282.748,6.0367193
144.89622820827935,30283.164,6.036642
144.91666258919577,30276.768,6.0335813
144.93709696999576,30294.547,6.030714
144.95753135067207,30302.08,6.0346212
144.97796583147283,30299.547,6.0302677
144.99840011203923,30298.7,6.033258
145.01883449271554,30307.387,6.0315704
145.0392688731663,30308.582,6.0344906
145.05970325373346,30311.188,6.038626
145.08013763417694,30314.955,6.030883
145.10057201451127,30334.006,6.0279984
145.12100649484637,30330.303,6.034898
145.14144077505625,30328.053,6.0402145
145.1618751553906,30325.617,6.0391808
145.18230943549133,30314.385,6.035069
145.20274391558632,30336.48,6.0358133
145.22317829568783,30350.092,6.037284
145.24361257567216,30340.691,6.0361633
145.26404705565074,30335.266,6.0394034
145.2844814355194,30345.38,6.0364327
145.30491581538809,30341.37,6.036367
145.32535009513958,30345.922,6.031866
145.34578457488533,30346.695,6.0390134
145.3662189546376,30351.875,6.0355253
145.3866532342654,30360.947,6.032528
145.4070877137856,30351.83,6.0397863
145.42752209330502,30364.383,6.038516
145.44795637282368,30363.0,6.036717
145.46839075221942,30350.092,6.0386987
145.4888252316232,30362.613,6.0380163
145.50925951090176,30354.92,6.0354733
145.52969389018835,30360.07,6.036582
145.55012826935854,30361.21,6.035427
145.5705627485222,30350.555,6.0351586
145.5909970275752,30364.924,6.036428
145.61143140662898,30353.139,6.0369005
145.63186588555982,30353.877,6.0370255
145.6523001644964,30351.473,6.038158
145.67273454331735,30351.701,6.0365224
145.69316882213752,30344.523,6.0353994
145.71360330095195,30333.328,6.0373025
145.73403767954005,30340.248,6.0419283
145.7544720582373,30346.09,6.039022
145.7749064368254,30346.906,6.0381417
145.7953408152971,30331.768,6.0365286
145.8157751938852,30337.092,6.0399437
145.83620947223244,30337.016,6.0374494
145.85664395058848,30327.797,6.0391555
145.87707832893648,30339.182,6.034942
145.89751260717458,30334.729,6.039995
145.9179470854142,30329.723,6.033898
145.93838146353664,30323.58,6.036985
145.95881574153464,30328.93,6.038751
145.97925011954067,30307.98,6.037299
145.99968459754018,30302.428,6.0392823
146.0201189754298,30312.69,6.0351653
146.04055325331865,30309.47,6.036964
146.0609877310926,30295.875,6.0358043
146.08142210885853,30309.5,6.036809
146.10185638651456,30304.154,6.037259
146.12229076417134,30108.525,6.0246735
146.1427252417052,29720.184,6.0028973
146.1631595192448,29654.895,5.996097
146.18359389666875,29666.023,5.9967318
146.20402827408543,29987.475,6.015405
146.22446265139297,30284.078,6.032411
146.2448970287005,30274.0,6.0339684
146.26533140588435,30272.79,6.03695
146.28576578307548,30271.756,6.0327196
146.30620016015018,30279.549,6.0342355
146.32663453721761,,
146.34706881429156,30265.055,6.0281467
146.36750329112692,30254.6,6.036398
146.38793766808521,30235.773,6.034517
146.40837194480991,30246.836,6.035149
146.42880642165255,30244.912,6.033574
146.44924079837074,30238.717,6.0359654
146.46967507497902,30233.639,6.0322814
146.49010955158155,30224.76,6.0281487
146.51054392807418,30222.127,6.031985
146.53097830456682,30214.482,6.02966
146.55141258094227,30221.568,6.030677
146.57184705731197,30212.436,6.0319285
146.59228143357177,30203.586,6.032265
146.6127158098243,30201.484,6.0285015
146.63315008596692,30200.355,6.0283413
146.65358456211106,30203.686,6.0302267
146.67401893813803,30203.16,6.029558
146.69445321404055,30184.309,6.0304985
146.71488769006828,30182.629,6.0292044
146.73532206585514,30176.018,6.029433
146.75575644164928,30167.562,6.0287848
146.77619071744266,30168.46,6.027037
146.79662519312114,30157.877,6.0258307
146.8170595687916,30157.611,6.0286226
146.83749384435214,30155.697,6.022555
146.85792821979703,30149.541,6.0272584
146.87836269535183,30148.818,6.0256886
146.89879697067954,30144.137,6.0267477
146.91923134600802,30143.56,6.0245376
146.93966582132998,30153.365,6.032231
